Order_ID,Brand,Region,Category,Month,Discount_Pct,Ad_Spend,Customer_Rating,Competitor_Price_Index,Units_Sold,Price_Per_Unit,Revenue,Profit
200023,Beta,East,Electronics,Nov,28.21,14106.97,4.72,0.83,160,574.29,91886.4,12799.67
200024,Beta,North,Electronics,Aug,6.28,4849.6,4.97,1.14,75,520.16,39012.0,9639.67
200025,Gamma,North,Clothing,Jun,28.46,11532.39,2.55,0.82,108,94.25,10179.0,1444.07
200026,Delta,North,Appliances,Aug,32.92,8735.74,3.48,0.89,126,436.24,54966.24,6396.66
200027,Alpha,East,Clothing,Jun,11.75,2149.77,4.54,0.98,94,95.77,9002.38,2032.36
200028,Gamma,East,Furniture,May,18.55,8720.98,3.32,1.22,53,734.81,38944.93,7286.47
200029,Gamma,North,Clothing,May,23.04,3293.14,4.12,0.84,98,85.34,8363.32,1402.49
200030,Alpha,South,Furniture,Oct,2.78,10567.81,4.98,1.21,82,781.04,64045.28,17091.6
200031,Delta,North,Furniture,Oct,17.29,9351.81,4.12,1.11,105,760.61,79864.05,15384.1
200032,Alpha,South,Clothing,Nov,12.62,2135.55,2.78,1.09,105,93.06,9771.3,1999.52
200033,Alpha,North,Appliances,Aug,30.54,4661.01,4.61,1.11,154,453.38,69820.52,8913.91
200034,Omega,West,Furniture,Jul,30.68,12090.93,4.92,0.77,109,713.34,77754.06,9813.83
200035,Omega,North,Appliances,Aug,24.53,5585.04,4.28,0.8,100,414.02,41402.0,6523.61
200036,Omega,North,Electronics,Dec,22.95,8490.68,3.55,0.92,125,522.96,65370.0,10812.46
200037,Beta,East,Furniture,Aug,25.68,6055.98,4.87,0.79,128,793.27,101538.56,15454.47
200038,Alpha,South,Electronics,Jul,12.81,13979.85,4.92,1.24,89,507.49,45166.61,9762.26
200039,Delta,West,Clothing,Feb,14.16,8975.5,4.84,1.04,83,84.75,7034.25,1498.16
200040,Gamma,South,Appliances,Nov,19.38,11050.26,3.53,0.99,92,403.06,37081.52,6812.87
200041,Alpha,West,Clothing,Sep,32.83,3085.19,4.47,1.14,136,93.91,12771.76,1519.24
200042,Gamma,North,Furniture,Jul,25.34,2524.37,4.14,1.24,70,765.41,53578.7,8185.29
200043,Alpha,East,Electronics,Dec,19.28,5369.97,2.95,1.23,102,540.2,55100.4,10131.62
200044,Omega,East,Furniture,Nov,26.96,6018.75,3.84,1.15,87,709.04,61686.48,8840.26
200045,Beta,South,Clothing,Jun,12.98,10939.85,4.37,0.94,100,87.43,8743.0,1849.02
200046,Delta,East,Appliances,Sep,25.57,9398.7,4.74,0.78,122,436.36,53235.92,8150.95
200047,Beta,South,Appliances,Jan,14.37,6869.53,4.66,0.8,101,412.07,41619.07,8596.68
200048,Gamma,South,Furniture,Nov,9.79,10503.53,2.89,0.75,87,745.51,64859.37,14924.91
200049,Gamma,West,Furniture,Feb,21.34,4126.35,3.72,0.75,86,763.04,65621.44,11404.73
200050,Alpha,South,Electronics,Jan,24.04,2825.37,3.7,1.22,101,586.33,59219.33,9432.59
200051,Omega,West,Clothing,Oct,16.08,13108.57,4.75,1.21,73,86.4,6307.2,1321.64
200052,Delta,East,Furniture,Dec,19.79,9331.3,2.5,1.08,97,743.76,72144.72,13065.55
200053,Omega,South,Electronics,Mar,24.29,10438.24,4.35,1.11,82,533.31,43731.42,7009.68
200054,Omega,South,Furniture,Nov,26.87,5994.15,4.05,1.01,107,745.94,79815.58,11710.22
200055,Gamma,North,Appliances,May,31.35,6835.41,4.8,0.87,120,433.2,51984.0,6470.81
200056,Omega,South,Electronics,Jan,12.41,3070.78,3.64,1.21,51,548.42,27969.42,6070.42
200057,Alpha,South,Electronics,Apr,33.3,13140.85,4.14,0.89,177,579.44,102560.88,11584.67
200058,Alpha,North,Furniture,Aug,22.3,9701.71,4.93,1.12,136,756.39,102869.04,17397.0
200059,Alpha,North,Clothing,Jun,27.57,3087.16,4.36,0.87,164,88.36,14491.04,2059.15
200060,Beta,East,Appliances,Jan,24.49,12458.88,2.67,1.19,84,438.97,36873.48,5819.44
200061,Beta,South,Clothing,Dec,7.2,7773.5,2.92,1.08,79,89.01,7031.79,1773.18
200062,Beta,East,Electronics,Jan,2.5,11946.32,4.55,1.07,57,551.37,31428.09,8350.93
200063,Omega,East,Clothing,Mar,25.42,2164.06,3.34,0.8,81,97.12,7866.72,1232.25
200064,Beta,North,Electronics,Oct,17.89,2373.62,4.26,0.96,118,575.21,67874.78,12908.87
200065,Beta,West,Clothing,Aug,24.58,4220.18,4.25,1.01,108,95.11,10271.88,1653.34
200066,Gamma,East,Furniture,Nov,16.69,4741.92,4.98,0.9,84,761.14,63935.76,12585.89
200067,Alpha,West,Clothing,Nov,10.93,11931.42,3.67,1.19,96,87.81,8429.76,1943.73
200068,Omega,South,Electronics,Aug,9.98,11187.02,4.34,1.17,51,593.23,30254.73,6940.35
200069,Alpha,North,Appliances,Mar,25.57,10009.15,2.62,1.0,127,402.8,51155.6,7747.84
200070,Omega,South,Appliances,Jul,9.69,13503.17,3.66,0.92,69,445.05,30708.45,7110.62
200071,Delta,South,Appliances,Dec,25.01,5212.93,2.97,1.15,114,447.64,51030.96,7878.2
200072,Alpha,North,Electronics,Mar,13.44,13757.26,4.6,0.85,138,577.94,79755.72,16940.56
200073,Alpha,South,Clothing,Apr,26.98,13823.12,4.6,0.79,176,84.44,14861.44,2121.32
200074,Omega,North,Appliances,Sep,5.0,7645.38,3.09,0.77,68,443.8,30178.4,7727.16
200075,Delta,West,Appliances,Apr,7.17,3227.02,3.3,0.77,82,431.01,35342.82,8726.61
200076,Delta,South,Appliances,Mar,24.01,11445.28,4.26,0.99,105,432.15,45375.75,7297.49
200077,Delta,North,Furniture,May,19.61,6380.07,4.35,0.88,113,784.38,88634.94,16162.17
200078,Alpha,East,Electronics,Jul,7.14,12334.08,4.14,1.1,75,549.17,41187.75,10095.98
200079,Beta,South,Electronics,May,31.6,4127.97,4.99,1.08,132,529.51,69895.32,8481.57
200080,Alpha,West,Electronics,Apr,9.66,9013.7,4.67,1.02,100,556.59,55659.0,12930.83
200081,Omega,North,Electronics,Aug,14.74,8604.96,3.54,0.93,76,515.56,39182.56,7993.23
200082,Delta,South,Electronics,Apr,7.08,3304.09,3.32,1.18,48,565.38,27138.24,6656.69
200083,Beta,South,Furniture,Feb,13.58,6723.33,3.99,1.1,75,747.95,56096.25,11934.69
200084,Alpha,South,Clothing,Oct,17.21,3101.82,4.54,0.89,132,90.03,11883.96,2345.56
200085,Beta,West,Furniture,Jun,10.33,8041.62,3.69,1.0,67,712.3,47724.1,10930.36
200086,Beta,North,Appliances,Feb,26.92,12957.76,4.34,0.83,135,389.17,52537.95,7576.73
200087,Delta,East,Furniture,Mar,13.79,5512.66,2.55,0.91,73,763.35,55724.55,11728.57
200088,Delta,East,Electronics,Jan,25.53,11943.21,4.81,1.25,83,563.98,46810.34,7190.34
200089,Omega,East,Furniture,May,7.25,4384.56,4.43,0.86,62,749.8,46487.6,11349.82
200090,Gamma,North,Electronics,Sep,13.2,10758.55,3.49,1.1,61,573.38,34976.18,7500.69
200091,Alpha,East,Furniture,Feb,0.28,13901.99,3.46,0.87,79,757.65,59854.35,16648.91
200092,Delta,West,Electronics,Dec,26.55,6211.07,2.76,1.22,103,580.64,59805.92,8751.3
200093,Delta,North,Appliances,Jul,21.91,13705.35,4.54,0.91,110,405.76,44633.6,7571.25
200094,Gamma,South,Electronics,May,28.62,8570.47,4.42,0.92,97,527.39,51156.83,6933.88
200095,Delta,West,Furniture,Feb,15.95,6118.47,4.08,1.05,66,721.34,47608.44,9561.12
200096,Gamma,South,Appliances,Aug,27.99,13654.61,2.75,1.04,88,388.45,34183.6,4640.8
200097,Gamma,East,Furniture,Nov,22.67,2416.48,3.16,1.04,85,798.07,67835.95,11268.47
200098,Gamma,West,Appliances,Jun,0.13,2364.25,3.65,1.04,36,453.55,16327.8,4659.83
200099,Alpha,North,Clothing,Apr,8.88,9797.78,3.16,0.91,105,94.56,9928.8,2328.51
200100,Alpha,West,Clothing,Apr,17.29,12357.76,3.58,0.97,124,88.74,11003.76,2091.14
200101,Alpha,South,Clothing,Feb,21.65,11770.1,3.06,1.05,116,87.9,10196.4,1862.95
200102,Delta,North,Furniture,Mar,2.3,3033.1,3.37,1.09,46,782.96,36016.16,9650.15
200103,Beta,West,Furniture,Jul,24.68,14353.27,4.13,0.88,121,751.19,90893.99,14333.41
200104,Gamma,West,Appliances,Mar,19.02,11139.83,4.73,1.1,75,449.53,33714.75,6219.95
200105,Omega,West,Appliances,May,18.4,14338.46,3.46,1.21,71,405.19,28768.49,5454.12
200106,Beta,West,Appliances,Oct,10.22,6278.27,4.23,1.13,76,408.16,31020.16,7215.15
200107,Beta,North,Appliances,Jun,20.82,11021.21,2.84,0.79,123,453.52,55782.96,9819.69
200108,Delta,South,Electronics,Jun,0.96,13179.2,3.85,0.98,59,592.08,34932.72,9596.36
200109,Beta,West,Clothing,Apr,2.26,6946.03,4.8,0.97,70,95.55,6688.5,1832.95
200110,Alpha,North,Electronics,Jun,25.69,14543.18,2.57,0.92,148,541.61,80158.28,12098.54
200111,Beta,South,Electronics,Mar,11.27,5444.91,3.17,1.0,82,579.71,47536.22,10694.55
200112,Alpha,West,Electronics,Jul,12.14,6102.98,2.83,0.97,85,530.94,45129.9,9864.91
200113,Omega,South,Electronics,Jul,7.29,13964.27,3.83,0.75,74,528.42,39103.08,9446.46
200114,Omega,South,Clothing,Apr,15.6,14605.58,4.2,0.87,89,90.67,8069.63,1625.17
200115,Delta,North,Electronics,Feb,1.82,5707.54,2.64,0.86,55,581.7,31993.5,8645.24
200116,Omega,South,Appliances,Nov,10.51,3773.07,2.68,0.92,70,392.95,27506.5,6133.6
200117,Omega,North,Furniture,Jul,18.45,11867.72,4.67,0.84,95,757.84,71994.8,13517.8
200118,Alpha,West,Appliances,Mar,16.3,14085.65,3.64,0.78,131,427.37,55985.47,11058.74
200119,Omega,South,Furniture,Jan,34.99,9809.28,3.66,0.85,103,759.58,78236.74,8196.38
200120,Gamma,South,Appliances,Feb,13.61,10248.75,4.86,1.18,64,401.08,25669.12,5386.07
200121,Omega,East,Appliances,Oct,13.54,11918.26,3.3,1.15,60,390.71,23442.6,5010.04
200122,Omega,West,Furniture,Sep,17.63,3990.1,4.74,0.97,77,797.4,61399.8,11778.94
200123,Beta,West,Clothing,Dec,6.66,14655.1,4.94,1.19,96,91.07,8742.72,2084.16
200124,Alpha,East,Electronics,Aug,30.67,6736.28,3.1,0.87,137,573.58,78580.46,10022.95
200125,Beta,East,Appliances,Jun,20.03,10167.13,3.79,1.04,94,410.89,38623.66,6962.19
200126,Gamma,North,Clothing,Jun,6.72,8092.01,3.84,0.82,69,83.41,5755.29,1393.5
200127,Omega,North,Electronics,Jan,27.77,8086.35,4.67,1.17,90,528.84,47595.6,6680.33
200128,Omega,South,Clothing,Feb,1.2,11135.68,3.26,0.82,61,83.86,5115.46,1398.74
200129,Alpha,South,Clothing,Apr,34.39,14930.61,4.5,0.77,191,83.93,16030.63,1668.99
200130,Gamma,South,Electronics,Mar,30.28,10567.78,4.93,0.89,106,524.87,55636.22,7220.88
200131,Beta,South,Appliances,Jan,20.29,12322.77,4.6,1.2,89,428.98,38179.22,6873.84
200132,Beta,North,Clothing,Aug,3.9,2359.01,4.77,0.81,89,94.58,8417.62,2176.64
200133,Alpha,West,Appliances,Jul,7.53,12535.56,4.27,0.92,89,441.6,39302.4,9505.51
200134,Beta,South,Appliances,Apr,9.78,5899.69,4.76,0.91,95,449.42,42694.9,9822.66
200135,Omega,West,Appliances,Dec,8.44,3647.12,2.91,1.15,47,430.51,20233.97,4825.22
200136,Beta,South,Electronics,Dec,17.41,3473.34,4.28,0.96,131,507.75,66515.25,12848.11
200137,Gamma,East,Furniture,Sep,33.06,10838.37,4.33,1.06,93,735.29,68381.97,7879.26
200138,Delta,South,Appliances,Nov,15.55,14969.02,3.6,0.95,112,393.89,44115.68,8936.94
200139,Beta,South,Furniture,Apr,23.15,10660.54,2.7,1.03,104,783.3,81463.2,13335.86
200140,Omega,South,Furniture,Jan,24.1,5410.53,4.06,0.78,91,704.36,64096.76,10187.28
200141,Omega,North,Clothing,Oct,30.51,4642.98,2.63,0.94,103,84.33,8685.99,1114.41
200142,Beta,East,Appliances,Jan,1.18,8837.44,3.46,1.18,34,388.3,13202.2,3584.12
200143,Gamma,South,Appliances,Jan,14.15,2845.51,3.48,1.1,52,450.61,23431.72,4972.13
200144,Beta,South,Appliances,Jan,27.47,7191.3,5.0,1.24,106,439.2,46555.2,6640.29
200145,Beta,West,Furniture,Apr,28.52,10661.05,3.25,1.14,111,730.0,81030.0,11061.58
200146,Alpha,East,Electronics,Jan,32.46,14579.61,4.55,0.98,135,539.13,72782.55,8561.97
200147,Delta,South,Furniture,Feb,24.6,7533.49,2.63,1.09,90,697.13,62741.7,9840.69
200148,Gamma,West,Appliances,Apr,8.58,4602.91,3.82,1.14,51,397.01,20247.51,4868.48
200149,Alpha,West,Appliances,Jul,17.7,12625.71,3.84,0.88,116,407.33,47250.28,9050.69
200150,Beta,North,Appliances,Feb,1.13,11674.59,4.07,0.78,81,412.46,33409.26,9195.68
200151,Omega,West,Furniture,Aug,22.64,13176.15,4.53,0.95,91,764.4,69560.4,11595.28
200152,Beta,South,Appliances,Jul,19.4,4791.34,4.4,0.82,112,409.94,45913.28,8453.4
200153,Alpha,North,Clothing,Sep,23.34,7262.82,4.4,0.89,155,96.55,14965.25,2509.94
200154,Gamma,North,Appliances,Jun,32.55,14760.21,3.58,1.22,94,409.44,38487.36,4467.13
200155,Omega,South,Electronics,Apr,24.05,4054.55,4.32,1.17,75,588.86,44164.5,7025.96
200156,Beta,East,Clothing,Jun,11.22,10728.86,3.73,1.05,70,93.31,6531.7,1451.9
200157,Delta,West,Appliances,Apr,6.96,5083.4,2.67,0.95,56,446.87,25024.72,6182.16
200158,Delta,North,Clothing,Jul,29.91,8502.07,4.73,0.88,125,92.93,11616.25,1483.18
200159,Beta,East,Appliances,Sep,6.8,12406.63,4.73,1.04,79,424.61,33544.19,8140.75
200160,Delta,South,Electronics,Mar,5.66,8351.62,3.31,1.02,60,550.8,33048.0,8358.66
200161,Beta,West,Appliances,Mar,7.23,12471.26,4.78,1.14,74,405.98,30042.52,7287.21
200162,Delta,West,Clothing,Feb,17.81,7542.35,4.39,1.21,76,87.09,6618.84,1247.21
200163,Delta,North,Electronics,Jan,4.35,14991.59,3.5,0.91,73,525.64,38371.72,9890.12
200164,Gamma,West,Furniture,Jan,32.83,7665.77,3.33,0.85,84,736.26,61845.84,7060.83
200165,Alpha,West,Electronics,Mar,33.82,3941.93,4.94,0.95,153,517.17,79127.01,8716.31
200166,Omega,West,Electronics,Jul,34.08,7224.3,4.28,0.97,97,540.11,52390.67,5784.86
200167,Beta,West,Electronics,Nov,1.37,11653.71,3.45,0.77,94,579.37,54460.78,14874.13
200168,Alpha,South,Clothing,Sep,33.12,13023.19,4.1,1.18,150,95.33,14299.5,1683.68
200169,Alpha,East,Electronics,Feb,34.91,7981.34,3.93,1.25,127,562.57,71446.39,7614.9
200170,Gamma,South,Appliances,Jul,32.99,9728.2,3.81,1.21,81,403.66,32696.46,3680.09
200171,Delta,South,Electronics,Jan,23.48,12983.57,4.11,1.18,88,527.15,46389.2,7526.32
200172,Alpha,North,Electronics,Feb,24.54,12576.1,3.84,1.25,117,530.46,62063.82,9757.11
200173,Gamma,West,Appliances,Jun,4.28,10550.41,4.14,1.2,39,420.0,16380.0,4311.53
200174,Beta,South,Appliances,Nov,30.6,12595.35,4.77,1.09,154,452.02,69611.08,8786.6
200175,Delta,West,Furniture,May,2.09,9486.84,4.98,0.83,84,703.1,59060.4,15936.15
200176,Alpha,South,Electronics,Aug,11.12,2060.43,4.27,0.83,108,550.05,59405.4,13394.81
200177,Delta,South,Clothing,Dec,34.69,2536.47,4.82,0.77,189,92.62,17505.18,1909.69
200178,Beta,North,Electronics,Nov,14.78,14737.51,4.65,0.96,136,527.62,71756.32,14814.54
200179,Omega,East,Electronics,Feb,4.59,3884.9,3.24,1.15,31,591.28,18329.68,4675.8
200180,Alpha,East,Appliances,Jan,33.93,7258.71,4.83,1.0,134,409.85,54919.9,6114.8
200181,Beta,South,Furniture,Jul,34.44,14139.55,2.68,0.93,124,801.88,99433.12,10638.58
200182,Alpha,North,Electronics,Jun,6.55,4535.51,3.32,0.8,97,558.57,54181.29,13421.4
200183,Omega,West,Clothing,Aug,30.27,12969.29,4.1,0.78,110,82.86,9114.6,1085.99
200184,Omega,West,Electronics,Nov,13.66,12637.48,3.82,0.95,95,533.38,50671.1,10816.41
200185,Beta,South,Clothing,Aug,13.35,14822.29,3.86,0.8,112,83.11,9308.32,1927.61
200186,Delta,East,Appliances,Feb,9.19,5661.86,4.49,0.8,81,412.04,33375.24,7788.4
200187,Omega,North,Furniture,Aug,1.56,6099.23,2.99,0.95,42,801.9,33679.8,9250.96
200188,Gamma,East,Electronics,Jun,9.38,13737.41,4.96,1.0,63,574.55,36196.65,8459.88
200189,Gamma,West,Furniture,Sep,1.88,5043.03,3.59,0.84,53,764.42,40514.26,10926.84
200190,Beta,East,Electronics,Dec,32.35,9122.71,4.87,1.09,159,553.39,87989.01,10410.71
200191,Alpha,West,Clothing,Jul,23.16,11195.48,3.46,0.96,121,88.17,10668.57,1766.39
200192,Omega,North,Furniture,Feb,31.03,5534.5,4.0,0.8,110,715.38,78691.8,9845.81
200193,Omega,North,Electronics,Aug,25.11,14199.37,3.63,1.07,90,511.5,46035.0,7099.59
200194,Delta,South,Appliances,Sep,4.6,10654.07,4.19,0.93,70,399.18,27942.6,7165.14
200195,Beta,South,Clothing,Jul,32.92,2612.81,2.96,0.78,132,87.86,11597.52,1372.73
200196,Beta,East,Furniture,Apr,31.5,3764.59,3.5,1.22,96,752.4,72230.4,8835.57
200197,Delta,North,Electronics,Sep,12.18,4480.16,2.67,1.04,68,523.99,35631.32,7753.13
200198,Omega,North,Furniture,Apr,3.9,5184.45,4.0,0.99,53,806.92,42766.76,11124.96
200199,Omega,South,Electronics,Dec,24.65,11498.81,4.91,1.18,112,512.76,57429.12,9001.02
200200,Delta,West,Clothing,Apr,25.49,3156.16,2.61,1.22,70,84.17,5891.9,916.1
200201,Delta,East,Appliances,Sep,31.39,6557.73,4.15,0.86,126,432.27,54466.02,6711.84
200202,Alpha,East,Clothing,Aug,1.84,13847.98,4.44,1.16,58,93.67,5432.86,1405.21
200203,Alpha,South,Furniture,Apr,4.96,9236.68,3.03,1.17,66,806.69,53241.54,13612.16
200204,Omega,North,Furniture,Aug,20.94,5451.46,3.18,0.78,99,753.65,74611.35,13068.95
200205,Delta,South,Electronics,Aug,21.67,14441.73,3.0,1.11,92,520.6,47895.2,8193.11
200206,Alpha,South,Clothing,Jul,1.18,5176.11,3.24,0.78,78,96.31,7512.18,2105.87
200207,Alpha,South,Electronics,Oct,13.89,13766.3,2.78,1.05,112,592.26,66333.12,13930.28
200208,Delta,South,Clothing,Jun,20.45,11435.01,3.43,1.08,89,96.1,8552.9,1609.53
200209,Alpha,West,Furniture,Aug,25.83,11626.77,3.42,0.93,141,794.6,112038.6,16985.4
200210,Alpha,West,Electronics,Jul,11.07,11944.21,4.52,1.19,88,512.83,45129.04,10188.65
200211,Gamma,North,Electronics,May,16.94,8585.4,4.5,1.15,77,581.23,44754.71,8706.96
200212,Delta,South,Clothing,Dec,28.49,12589.52,4.49,1.21,133,96.53,12838.49,1794.6
200213,Delta,West,Appliances,Apr,33.39,12870.51,3.92,0.91,133,423.52,56328.16,6381.33
200214,Beta,North,Clothing,Dec,8.06,6686.33,3.31,0.76,129,93.93,12116.97,2868.36
200215,Delta,South,Appliances,Feb,8.86,7204.48,3.53,1.16,58,430.81,24986.98,5942.9
200216,Beta,East,Clothing,Nov,32.89,13553.84,3.29,0.86,163,86.95,14172.85,1637.66
200217,Beta,West,Furniture,Aug,13.86,8821.48,3.95,0.98,86,760.5,65403.0,13657.82
200218,Delta,North,Electronics,Sep,25.14,13270.27,4.84,1.16,113,584.26,66021.38,10261.01
200219,Delta,East,Clothing,Apr,21.43,10148.0,3.21,0.86,102,89.95,9174.9,1661.36
200220,Omega,South,Furniture,Apr,10.0,9716.38,3.65,0.91,74,760.82,56300.68,12945.96
200221,Delta,South,Clothing,May,22.87,2402.75,4.14,0.97,104,90.45,9406.8,1589.26
200222,Gamma,South,Electronics,Feb,22.94,5612.63,4.61,0.89,85,530.85,45122.25,7475.95
200223,Alpha,West,Clothing,Jul,20.74,8526.75,3.13,0.98,108,92.07,9943.56,1729.27
200224,Beta,North,Appliances,May,3.49,9635.12,3.2,0.75,90,420.64,37857.6,10072.98
200225,Beta,East,Electronics,Jun,34.83,10195.65,4.71,0.86,140,526.46,73704.4,7770.75
200226,Beta,North,Appliances,Apr,14.01,11310.9,2.7,1.17,90,446.57,40191.3,8440.73
200227,Omega,West,Furniture,Aug,22.34,10531.03,4.01,0.96,84,804.01,67536.84,11310.53
200228,Beta,North,Furniture,Aug,31.0,13031.5,4.65,1.07,134,696.64,93349.76,11711.54
200229,Omega,West,Clothing,Dec,14.82,5841.11,4.8,0.87,102,91.76,9359.52,1961.74
200230,Delta,South,Appliances,May,27.09,10340.41,2.53,1.07,105,414.29,43500.45,6331.05
200231,Delta,East,Appliances,Dec,34.01,2665.07,3.42,1.25,120,421.74,50608.8,5503.43
200232,Gamma,South,Electronics,Jun,12.56,8242.47,3.14,1.05,53,538.9,28561.7,6217.4
200233,Gamma,North,Appliances,Mar,14.18,5484.43,3.92,1.06,62,418.28,25933.36,5442.36
200234,Gamma,South,Appliances,Jan,31.7,6951.53,4.08,0.81,102,408.13,41629.26,4992.14
200235,Alpha,East,Electronics,Sep,5.59,6610.62,5.0,0.95,90,516.35,46471.5,11732.66
200236,Delta,South,Electronics,Sep,1.0,2785.6,3.78,1.18,36,532.58,19172.88,5240.19
200237,Beta,East,Appliances,Mar,31.81,8066.4,3.88,1.17,101,431.45,43576.45,5255.66
200238,Alpha,East,Clothing,Apr,28.76,14930.18,3.54,1.01,144,83.53,12028.32,1667.14
200239,Delta,South,Electronics,Jul,34.04,5886.17,2.87,1.2,94,539.68,50729.92,5580.08
200240,Alpha,West,Electronics,Feb,2.04,11569.9,3.26,0.82,82,509.72,41797.04,11239.69
200241,Omega,North,Appliances,Dec,5.47,9121.25,3.12,1.08,60,410.34,24620.4,6163.62
200242,Omega,West,Appliances,Mar,3.69,6227.93,4.5,0.87,57,392.29,22360.53,5840.18
200243,Omega,West,Electronics,Jun,23.92,3164.89,3.86,1.07,87,535.89,46622.43,7489.45
200244,Beta,South,Appliances,Nov,21.21,4806.15,3.24,0.79,146,442.72,64637.12,11244.34
200245,Alpha,North,Electronics,Aug,12.58,12164.1,3.72,1.22,93,559.98,52078.14,11299.85
200246,Omega,North,Clothing,Jan,2.01,5627.26,3.05,1.14,41,92.63,3797.83,1013.7
200247,Gamma,West,Clothing,Apr,22.39,3875.93,2.96,0.85,81,90.05,7294.05,1297.58
200248,Omega,South,Electronics,Jan,19.95,6306.88,4.65,1.07,84,587.17,49322.28,8899.79
200249,Omega,North,Electronics,Feb,3.95,9592.56,4.86,1.13,56,553.62,31002.72,8078.59
200250,Omega,West,Furniture,Aug,31.81,11145.02,2.7,0.85,107,702.52,75169.64,9080.74
200251,Beta,North,Furniture,Jun,6.96,7035.74,4.41,0.8,88,801.97,70573.36,17283.29
200252,Beta,South,Appliances,Sep,26.02,8475.91,3.63,0.93,127,395.34,50208.18,7620.33
200253,Omega,South,Appliances,Feb,30.98,7913.92,3.47,0.82,101,453.54,45807.54,5758.68
200254,Beta,South,Electronics,Mar,20.28,2117.04,4.22,1.03,99,544.31,53886.69,9663.02
200255,Alpha,North,Electronics,Sep,8.64,7142.81,3.17,0.96,98,512.47,50222.06,11852.54
200256,Gamma,East,Furniture,Sep,10.82,9635.16,2.55,0.98,59,793.69,46827.71,10627.82
200257,Omega,North,Furniture,Jun,31.0,9409.28,3.04,1.02,104,701.15,72919.6,9064.82
200258,Delta,East,Electronics,Mar,10.44,11746.98,2.96,1.24,44,521.35,22939.4,5242.27
200259,Gamma,South,Clothing,May,26.12,10714.89,2.59,1.15,70,88.81,6216.7,934.29
200260,Alpha,West,Clothing,Feb,34.66,5598.49,3.3,1.06,133,92.54,12307.82,1379.36
200261,Delta,East,Appliances,Jul,34.99,5323.37,3.69,0.93,111,394.54,43793.94,4575.7
200262,Omega,South,Electronics,Oct,18.67,8033.84,4.34,0.76,110,560.79,61686.9,11541.81
200263,Alpha,South,Electronics,Nov,28.93,11528.61,3.31,0.81,197,574.67,113209.99,15342.6
200264,Gamma,East,Appliances,Aug,34.66,3219.75,2.99,1.12,80,394.7,31576.0,3330.76
200265,Omega,West,Furniture,Jun,13.11,14328.25,3.08,0.93,73,767.71,56042.83,12045.23
200266,Delta,South,Furniture,Aug,8.83,9060.99,4.73,0.92,85,805.07,68430.95,16131.94
200267,Delta,East,Clothing,Feb,4.0,5983.31,3.01,1.19,39,96.73,3772.47,978.74
200268,Delta,West,Electronics,Mar,4.93,11014.09,4.7,0.99,71,520.23,36936.33,9413.27
200269,Beta,West,Furniture,Jul,29.87,2581.44,3.62,1.2,93,781.16,72647.88,9494.46
200270,Beta,South,Clothing,Oct,20.61,8297.16,4.84,1.19,117,94.99,11113.83,1968.7
